Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,replicate,sample_acc,Sample Name,source_name,SRA Study,tissue
SRR9623676,RNA-Seq,252,PRJNA552058,SAMN12173746,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386116,GSM3913519,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,8354,3251,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045625,GSM3913519,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623677,RNA-Seq,302,PRJNA552058,SAMN12173745,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6386117,GSM3913520,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,14944,6608,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045626,GSM3913520,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623678,RNA-Seq,252,PRJNA552058,SAMN12173744,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6386118,GSM3913521,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,7694,3038,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045624,GSM3913521,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623679,RNA-Seq,302,PRJNA552058,SAMN12173743,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386119,GSM3913522,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,11054,4421,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045627,GSM3913522,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623680,RNA-Seq,302,PRJNA552058,SAMN12173742,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386120,GSM3913523,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,10370,4436,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045628,GSM3913523,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623681,RNA-Seq,302,PRJNA552058,SAMN12173741,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386121,GSM3913524,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9586,4259,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045629,GSM3913524,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623682,RNA-Seq,302,PRJNA552058,SAMN12173740,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6386122,GSM3913525,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9974,4453,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045630,GSM3913525,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623683,RNA-Seq,302,PRJNA552058,SAMN12173738,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386123,GSM3913526,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,18040,7869,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045631,GSM3913526,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623684,RNA-Seq,252,PRJNA552058,SAMN12173737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386124,GSM3913527,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,10127,4005,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045632,GSM3913527,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623685,RNA-Seq,302,PRJNA552058,SAMN12173736,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386125,GSM3913528,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,11840,5090,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045633,GSM3913528,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623686,RNA-Seq,252,PRJNA552058,SAMN12173735,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386126,GSM3913529,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,8686,3400,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045634,GSM3913529,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623687,RNA-Seq,302,PRJNA552058,SAMN12173734,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386127,GSM3913530,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9977,4302,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045635,GSM3913530,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623688,RNA-Seq,302,PRJNA552058,SAMN12173733,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386128,GSM3913531,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,14276,6288,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045636,GSM3913531,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623689,RNA-Seq,302,PRJNA552058,SAMN12173732,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6386129,GSM3913532,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,15182,6508,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045637,GSM3913532,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623690,RNA-Seq,302,PRJNA552058,SAMN12173731,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6386130,GSM3913533,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,11021,4678,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045639,GSM3913533,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623691,RNA-Seq,302,PRJNA552058,SAMN12173730,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386131,GSM3913534,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,15664,6569,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045638,GSM3913534,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623692,RNA-Seq,302,PRJNA552058,SAMN12173729,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386132,GSM3913535,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,18496,7164,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045640,GSM3913535,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623693,RNA-Seq,302,PRJNA552058,SAMN12173728,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6386133,GSM3913536,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,13367,5790,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045641,GSM3913536,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623694,RNA-Seq,302,PRJNA552058,SAMN12173727,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6386134,GSM3913537,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,12165,4322,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045642,GSM3913537,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623695,RNA-Seq,302,PRJNA552058,SAMN12173726,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6386135,GSM3913538,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,13206,5786,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045643,GSM3913538,Prostate tissue,SRP212704,"Normal,Frozen tissue"
SRR9623696,RNA-Seq,302,PRJNA552058,SAMN12173725,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6386136,GSM3913539,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,10103,4449,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045644,GSM3913539,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623697,RNA-Seq,302,PRJNA552058,SAMN12173724,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6386137,GSM3913540,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,18879,8422,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 2,SRS5045645,GSM3913540,Prostate tissue,SRP212704,"Tumor,Frozen tissue"
SRR9623698,RNA-Seq,302,PRJNA552058,SAMN12173723,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6386138,GSM3913541,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,13901,6100,Homo sapiens,ILLUMINA,2019-07-08T00:00:00Z,Biological Replicate 1,SRS5045646,GSM3913541,Prostate tissue,SRP212704,"Normal,Frozen tissue"
